Country Name,Year,GDP_Per_Capita,Development_Score,Development_Level
Sierra Leone,2034,579.12,68.93,Developing
Sierra Leone,2035,559.84,71.85,Highly Developed
Sierra Leone,2036,540.56,74.78,Highly Developed
Sierra Leone,2037,521.28,77.7,Highly Developed
Sierra Leone,2038,502.0,80.63,Highly Developed
Sierra Leone,2039,482.72,83.55,Highly Developed
Sierra Leone,2040,463.44,86.47,Highly Developed
Singapore,2025,92921.31,79.54,Highly Developed
Singapore,2026,96709.14,80.35,Highly Developed
Singapore,2027,100496.97,81.16,Highly Developed
Singapore,2028,104284.8,81.98,Highly Developed
Singapore,2029,108072.63,82.79,Highly Developed
Singapore,2030,111860.46,83.6,Highly Developed
Singapore,2031,115648.3,84.42,Highly Developed
Singapore,2032,119436.13,85.23,Highly Developed
Singapore,2033,123223.96,86.04,Highly Developed
Singapore,2034,127011.79,86.86,Highly Developed
Singapore,2035,130799.62,87.67,Highly Developed
Singapore,2036,134587.45,88.49,Highly Developed
Singapore,2037,138375.29,89.3,Highly Developed
Singapore,2038,142163.12,90.11,Highly Developed
Singapore,2039,145950.95,90.93,Highly Developed
Singapore,2040,149738.78,91.74,Highly Developed
Slovenia,2025,33623.48,72.01,Highly Developed
Slovenia,2026,34817.24,72.82,Highly Developed
Slovenia,2027,36011.0,73.63,Highly Developed
Slovenia,2028,37204.76,74.43,Highly Developed
Slovenia,2029,38398.52,75.24,Highly Developed
Slovenia,2030,39592.28,76.05,Highly Developed
Slovenia,2031,40786.04,76.85,Highly Developed
Slovenia,2032,41979.8,77.66,Highly Developed
Slovenia,2033,43173.56,78.47,Highly Developed
Slovenia,2034,44367.32,79.28,Highly Developed
Slovenia,2035,45561.08,80.08,Highly Developed
Slovenia,2036,46754.84,80.89,Highly Developed
Slovenia,2037,47948.6,81.7,Highly Developed
Slovenia,2038,49142.36,82.51,Highly Developed
Slovenia,2039,50336.12,83.31,Highly Developed
Slovenia,2040,51529.88,84.12,Highly Developed
Solomon Islands,2025,1912.4,45.18,Developing
Solomon Islands,2026,1886.6,45.89,Developing
Solomon Islands,2027,1860.8,46.6,Developing
Solomon Islands,2028,1835.0,47.32,Developing
Solomon Islands,2029,1809.21,48.03,Developing
Solomon Islands,2030,1783.41,48.74,Developing
Solomon Islands,2031,1757.61,49.45,Developing
Solomon Islands,2032,1731.81,50.16,Developing
Solomon Islands,2033,1706.01,50.87,Developing
Solomon Islands,2034,1680.21,51.59,Developing
Solomon Islands,2035,1654.41,52.3,Developing
Solomon Islands,2036,1628.61,53.01,Developing
Solomon Islands,2037,1602.81,53.72,Developing
Solomon Islands,2038,1577.01,54.43,Developing
Solomon Islands,2039,1551.21,55.14,Developing
Solomon Islands,2040,1525.41,55.85,Developing
South Africa,2025,6274.32,51.99,Developing
South Africa,2026,6260.47,52.93,Developing
South Africa,2027,6246.62,53.88,Developing
South Africa,2028,6232.77,54.83,Developing
South Africa,2029,6218.92,55.77,Developing
South Africa,2030,6205.08,56.72,Developing
South Africa,2031,6191.23,57.67,Developing
South Africa,2032,6177.38,58.61,Developing
South Africa,2033,6163.53,59.56,Developing
South Africa,2034,6149.68,60.51,Developing
South Africa,2035,6135.83,61.45,Developing
South Africa,2036,6121.99,62.4,Developing
South Africa,2037,6108.14,63.35,Developing
South Africa,2038,6094.29,64.29,Developing
South Africa,2039,6080.44,65.24,Developing
South Africa,2040,6066.59,66.18,Developing
Spain,2025,33687.96,72.7,Highly Developed
Spain,2026,34327.03,73.51,Highly Developed
Spain,2027,34966.1,74.32,Highly Developed
Spain,2028,35605.17,75.13,Highly Developed
Spain,2029,36244.24,75.94,Highly Developed
Spain,2030,36883.31,76.75,Highly Developed
Spain,2031,37522.38,77.56,Highly Developed
Spain,2032,38161.45,78.37,Highly Developed
Spain,2033,38800.51,79.19,Highly Developed
Spain,2034,39439.58,80.0,Highly Developed
Spain,2035,40078.65,80.81,Highly Developed
Spain,2036,40717.72,81.62,Highly Developed
Spain,2037,41356.79,82.43,Highly Developed
Spain,2038,41995.86,83.24,Highly Developed
Spain,2039,42634.93,84.05,Highly Developed
Spain,2040,43274.0,84.86,Highly Developed
Sri Lanka,2025,3935.34,55.24,Developing
Sri Lanka,2026,3916.68,56.6,Developing
Sri Lanka,2027,3898.03,57.96,Developing
Sri Lanka,2028,3879.37,59.32,Developing
Sri Lanka,2029,3860.71,60.68,Developing
Sri Lanka,2030,3842.06,62.04,Developing
Sri Lanka,2031,3823.4,63.4,Developing
Sri Lanka,2032,3804.75,64.75,Developing
Sri Lanka,2033,3786.09,66.11,Developing
Sri Lanka,2034,3767.43,67.47,Developing
Sri Lanka,2035,3748.78,68.83,Developing
Sri Lanka,2036,3730.12,70.19,Highly Developed
Sri Lanka,2037,3711.47,71.55,Highly Developed
Sri Lanka,2038,3692.81,72.91,Highly Developed
Sri Lanka,2039,3674.15,74.26,Highly Developed
Sri Lanka,2040,3655.5,75.62,Highly Developed
Sudan,2025,699.28,54.02,Developing
Sudan,2026,662.4,55.47,Developing
Sudan,2027,625.51,56.92,Developing
Sudan,2028,588.62,58.37,Developing
Sudan,2029,551.74,59.82,Developing
Sudan,2030,514.85,61.27,Developing
Sudan,2031,477.97,62.72,Developing
Sudan,2032,441.08,64.17,Developing
Sudan,2033,404.19,65.62,Developing
Sudan,2034,367.31,67.07,Developing
Sudan,2035,330.42,68.52,Developing
Sudan,2036,293.54,69.98,Developing
Sudan,2037,256.65,71.43,Highly Developed
Sudan,2038,219.76,72.88,Highly Developed
Sudan,2039,182.88,74.33,Highly Developed
Sudan,2040,145.99,75.78,Highly Developed
Suriname,2025,5031.62,59.23,Developing
Suriname,2026,4790.46,60.43,Developing
Suriname,2027,4549.3,61.64,Developing
Suriname,2028,4308.14,62.84,Developing
Suriname,2029,4066.98,64.05,Developing
Suriname,2030,3825.82,65.25,Developing
Suriname,2031,3584.67,66.46,Developing
Suriname,2032,3343.51,67.66,Developing
Suriname,2033,3102.35,68.87,Developing
Suriname,2034,2861.19,70.07,Highly Developed
Suriname,2035,2620.03,71.28,Highly Developed
Suriname,2036,2378.87,72.48,Highly Developed
Suriname,2037,2137.71,73.69,Highly Developed
Suriname,2038,1896.55,74.89,Highly Developed
Suriname,2039,1655.39,76.1,Highly Developed
Suriname,2040,1414.23,77.3,Highly Developed
Sweden,2025,56072.7,74.0,Highly Developed
Sweden,2026,56304.91,74.16,Highly Developed
Sweden,2027,56537.13,74.31,Highly Developed
Sweden,2028,56769.34,74.47,Highly Developed
Sweden,2029,57001.55,74.63,Highly Developed
Sweden,2030,57233.77,74.78,Highly Developed
Sweden,2031,57465.98,74.94,Highly Developed
Sweden,2032,57698.2,75.09,Highly Developed
Sweden,2033,57930.41,75.25,Highly Developed
Sweden,2034,58162.62,75.41,Highly Developed
Sweden,2035,58394.84,75.56,Highly Developed
Sweden,2036,58627.05,75.72,Highly Developed
Sweden,2037,58859.26,75.87,Highly Developed
Sweden,2038,59091.48,76.03,Highly Developed
Sweden,2039,59323.69,76.19,Highly Developed
Sweden,2040,59555.91,76.34,Highly Developed
Switzerland,2025,100652.09,80.5,Highly Developed
Switzerland,2026,102505.36,81.02,Highly Developed
Switzerland,2027,104358.63,81.54,Highly Developed
Switzerland,2028,106211.9,82.05,Highly Developed
Switzerland,2029,108065.17,82.57,Highly Developed
Switzerland,2030,109918.44,83.08,Highly Developed
Switzerland,2031,111771.72,83.6,Highly Developed
Switzerland,2032,113624.99,84.12,Highly Developed
Switzerland,2033,115478.26,84.63,Highly Developed
Switzerland,2034,117331.53,85.15,Highly Developed
Switzerland,2035,119184.8,85.66,Highly Developed
Switzerland,2036,121038.08,86.18,Highly Developed
Switzerland,2037,122891.35,86.7,Highly Developed
Switzerland,2038,124744.62,87.21,Highly Developed
Switzerland,2039,126597.89,87.73,Highly Developed
Switzerland,2040,128451.16,88.24,Highly Developed
Tajikistan,2025,1139.14,51.11,Developing
Tajikistan,2026,1167.41,52.4,Developing
Tajikistan,2027,1195.68,53.68,Developing
Tajikistan,2028,1223.95,54.96,Developing
Tajikistan,2029,1252.22,56.25,Developing
Tajikistan,2030,1280.49,57.53,Developing
Tajikistan,2031,1308.76,58.82,Developing
Tajikistan,2032,1337.03,60.1,Developing
Tajikistan,2033,1365.29,61.38,Developing
Tajikistan,2034,1393.56,62.67,Developing
Tajikistan,2035,1421.83,63.95,Developing
Tajikistan,2036,1450.1,65.24,Developing
Tajikistan,2037,1478.37,66.52,Developing
Tajikistan,2038,1506.64,67.8,Developing
Tajikistan,2039,1534.91,69.09,Developing
Tajikistan,2040,1563.18,70.37,Highly Developed
Tanzania,2025,1252.88,43.17,Developing
Tanzania,2026,1281.63,44.3,Developing
Tanzania,2027,1310.39,45.44,Developing
Tanzania,2028,1339.15,46.57,Developing
Tanzania,2029,1367.91,47.7,Developing
Tanzania,2030,1396.67,48.84,Developing
Tanzania,2031,1425.43,49.97,Developing
Tanzania,2032,1454.19,51.1,Developing
Tanzania,2033,1482.95,52.24,Developing
Tanzania,2034,1511.71,53.37,Developing
Tanzania,2035,1540.47,54.5,Developing
Tanzania,2036,1569.23,55.64,Developing
Tanzania,2037,1597.99,56.77,Developing
Tanzania,2038,1626.75,57.9,Developing
Tanzania,2039,1655.51,59.03,Developing
Tanzania,2040,1684.27,60.17,Developing
Thailand,2025,7711.66,70.2,Highly Developed
Thailand,2026,7876.69,71.9,Highly Developed
Thailand,2027,8041.72,73.6,Highly Developed
Thailand,2028,8206.75,75.31,Highly Developed
Thailand,2029,8371.79,77.01,Highly Developed
Thailand,2030,8536.82,78.71,Highly Developed
Thailand,2031,8701.85,80.41,Highly Developed
Thailand,2032,8866.88,82.11,Highly Developed
Thailand,2033,9031.91,83.82,Highly Developed
Thailand,2034,9196.95,85.52,Highly Developed
Thailand,2035,9361.98,87.22,Highly Developed
Thailand,2036,9527.01,88.92,Highly Developed
Thailand,2037,9692.04,90.63,Highly Developed
Thailand,2038,9857.07,92.33,Highly Developed
Thailand,2039,10022.11,94.03,Highly Developed
Thailand,2040,10187.14,95.73,Highly Developed
Timor-Leste,2025,1995.0,55.2,Developing
Timor-Leste,2026,2063.54,57.6,Developing
Timor-Leste,2027,2132.08,60.0,Developing
Timor-Leste,2028,2200.62,62.41,Developing
Timor-Leste,2029,2269.16,64.81,Developing
Timor-Leste,2030,2337.7,67.21,Developing
Timor-Leste,2031,2406.24,69.62,Developing
Timor-Leste,2032,2474.78,72.02,Highly Developed
Timor-Leste,2033,2543.32,74.43,Highly Developed
Timor-Leste,2034,2611.86,76.83,Highly Developed
Timor-Leste,2035,2680.4,79.23,Highly Developed
Timor-Leste,2036,2748.94,81.64,Highly Developed
Timor-Leste,2037,2817.48,84.04,Highly Developed
Timor-Leste,2038,2886.02,86.44,Highly Developed
Timor-Leste,2039,2954.56,88.85,Highly Developed
Timor-Leste,2040,3023.1,91.25,Highly Developed
Togo,2025,1077.6,42.84,Developing
Togo,2026,1108.71,44.53,Developing
Togo,2027,1139.81,46.23,Developing
Togo,2028,1170.92,47.92,Developing
Togo,2029,1202.03,49.61,Developing
Togo,2030,1233.13,51.3,Developing
Togo,2031,1264.24,53.0,Developing
Togo,2032,1295.35,54.69,Developing
Togo,2033,1326.46,56.38,Developing
Togo,2034,1357.56,58.08,Developing
Togo,2035,1388.67,59.77,Developing
Togo,2036,1419.78,61.46,Developing
Togo,2037,1450.88,63.15,Developing
Togo,2038,1481.99,64.85,Developing
Togo,2039,1513.1,66.54,Developing
Togo,2040,1544.2,68.23,Developing
Tonga,2025,5791.17,58.04,Developing
Tonga,2026,5962.5,59.11,Developing
Tonga,2027,6133.84,60.18,Developing
Tonga,2028,6305.17,61.25,Developing
Tonga,2029,6476.51,62.32,Developing
Tonga,2030,6647.84,63.4,Developing
Tonga,2031,6819.18,64.47,Developing
Tonga,2032,6990.52,65.54,Developing
Tonga,2033,7161.85,66.61,Developing
Tonga,2034,7333.19,67.68,Developing
Tonga,2035,7504.52,68.75,Developing
Tonga,2036,7675.86,69.83,Developing
Tonga,2037,7847.19,70.9,Highly Developed
Tonga,2038,8018.53,71.97,Highly Developed
Tonga,2039,8189.87,73.04,Highly Developed
Tonga,2040,8361.2,74.11,Highly Developed
Tunisia,2025,3768.28,56.79,Developing
Tunisia,2026,3754.01,57.77,Developing
Tunisia,2027,3739.74,58.75,Developing
Tunisia,2028,3725.47,59.74,Developing
Tunisia,2029,3711.2,60.72,Developing
Tunisia,2030,3696.93,61.71,Developing
Tunisia,2031,3682.66,62.69,Developing
Tunisia,2032,3668.39,63.68,Developing
Tunisia,2033,3654.12,64.66,Developing
Tunisia,2034,3639.85,65.65,Developing
Tunisia,2035,3625.58,66.63,Developing
Tunisia,2036,3611.31,67.61,Developing
Tunisia,2037,3597.04,68.6,Developing
Tunisia,2038,3582.77,69.58,Developing
Tunisia,2039,3568.5,70.57,Highly Developed
Tunisia,2040,3554.23,71.55,Highly Developed
Turkmenistan,2025,6131.81,61.15,Developing
Turkmenistan,2026,6135.83,62.95,Developing
Turkmenistan,2027,6139.85,64.75,Developing
Turkmenistan,2028,6143.86,66.56,Developing
Turkmenistan,2029,6147.88,68.36,Developing
Turkmenistan,2030,6151.9,70.16,Highly Developed
Turkmenistan,2031,6155.92,71.97,Highly Developed
Turkmenistan,2032,6159.94,73.77,Highly Developed
Turkmenistan,2033,6163.96,75.57,Highly Developed
Turkmenistan,2034,6167.98,77.38,Highly Developed
Turkmenistan,2035,6172.0,79.18,Highly Developed
Turkmenistan,2036,6176.02,80.98,Highly Developed
Turkmenistan,2037,6180.04,82.79,Highly Developed
Turkmenistan,2038,6184.06,84.59,Highly Developed
Turkmenistan,2039,6188.08,86.39,Highly Developed
Turkmenistan,2040,6192.1,88.2,Highly Developed
Tuvalu,2025,6883.53,58.52,Developing
Tuvalu,2026,7213.75,60.16,Developing
Tuvalu,2027,7543.97,61.81,Developing
Tuvalu,2028,7874.18,63.46,Developing
Tuvalu,2029,8204.4,65.1,Developing
Tuvalu,2030,8534.62,66.75,Developing
Tuvalu,2031,8864.84,68.39,Developing
Tuvalu,2032,9195.06,70.04,Highly Developed
Tuvalu,2033,9525.28,71.69,Highly Developed
Tuvalu,2034,9855.5,73.33,Highly Developed
Tuvalu,2035,10185.72,74.98,Highly Developed
Tuvalu,2036,10515.94,76.63,Highly Developed
Tuvalu,2037,10846.15,78.27,Highly Developed
Tuvalu,2038,11176.37,79.92,Highly Developed
Tuvalu,2039,11506.59,81.56,Highly Developed
Tuvalu,2040,11836.81,83.21,Highly Developed
Uganda,2025,1008.64,35.09,Underdeveloped
Uganda,2026,1030.34,35.6,Underdeveloped
Uganda,2027,1052.04,36.11,Underdeveloped
Uganda,2028,1073.73,36.62,Underdeveloped
Uganda,2029,1095.43,37.13,Underdeveloped
Uganda,2030,1117.13,37.64,Underdeveloped
Uganda,2031,1138.82,38.15,Underdeveloped
Uganda,2032,1160.52,38.67,Underdeveloped
Uganda,2033,1182.22,39.18,Underdeveloped
Uganda,2034,1203.91,39.69,Underdeveloped
Uganda,2035,1225.61,40.2,Developing
Uganda,2036,1247.31,40.71,Developing
Uganda,2037,1269.0,41.22,Developing
Uganda,2038,1290.7,41.73,Developing
Uganda,2039,1312.4,42.24,Developing
Uganda,2040,1334.1,42.75,Developing
Ukraine,2025,5526.19,64.19,Developing
Ukraine,2026,5844.11,65.97,Developing
Ukraine,2027,6162.03,67.75,Developing
Ukraine,2028,6479.94,69.54,Developing
Ukraine,2029,6797.86,71.32,Highly Developed
Ukraine,2030,7115.78,73.1,Highly Developed
Ukraine,2031,7433.7,74.88,Highly Developed
Ukraine,2032,7751.62,76.67,Highly Developed
Ukraine,2033,8069.53,78.45,Highly Developed
Ukraine,2034,8387.45,80.23,Highly Developed
Ukraine,2035,8705.37,82.01,Highly Developed
Ukraine,2036,9023.29,83.79,Highly Developed
Ukraine,2037,9341.21,85.58,Highly Developed
Ukraine,2038,9659.12,87.36,Highly Developed
Ukraine,2039,9977.04,89.14,Highly Developed
Ukraine,2040,10294.96,90.92,Highly Developed
United Arab Emirates,2025,47645.95,77.58,Highly Developed
United Arab Emirates,2026,47857.26,78.16,Highly Developed
United Arab Emirates,2027,48068.58,78.74,Highly Developed
United Arab Emirates,2028,48279.9,79.33,Highly Developed
United Arab Emirates,2029,48491.21,79.91,Highly Developed
United Arab Emirates,2030,48702.53,80.5,Highly Developed
United Arab Emirates,2031,48913.85,81.08,Highly Developed
United Arab Emirates,2032,49125.17,81.67,Highly Developed
United Arab Emirates,2033,49336.48,82.25,Highly Developed
United Arab Emirates,2034,49547.8,82.83,Highly Developed
United Arab Emirates,2035,49759.12,83.42,Highly Developed
United Arab Emirates,2036,49970.44,84.0,Highly Developed
United Arab Emirates,2037,50181.75,84.59,Highly Developed
United Arab Emirates,2038,50393.07,85.17,Highly Developed
United Arab Emirates,2039,50604.39,85.76,Highly Developed
United Arab Emirates,2040,50815.7,86.34,Highly Developed
United Kingdom,2025,49579.82,72.68,Highly Developed
United Kingdom,2026,50255.39,72.88,Highly Developed
United Kingdom,2027,50930.97,73.08,Highly Developed
United Kingdom,2028,51606.54,73.28,Highly Developed
United Kingdom,2029,52282.12,73.49,Highly Developed
United Kingdom,2030,52957.7,73.69,Highly Developed
United Kingdom,2031,53633.27,73.89,Highly Developed
United Kingdom,2032,54308.85,74.09,Highly Developed
United Kingdom,2033,54984.42,74.29,Highly Developed
United Kingdom,2034,55660.0,74.49,Highly Developed
United Kingdom,2035,56335.58,74.7,Highly Developed
United Kingdom,2036,57011.15,74.9,Highly Developed
United Kingdom,2037,57686.73,75.1,Highly Developed
United Kingdom,2038,58362.3,75.3,Highly Developed
United Kingdom,2039,59037.88,75.5,Highly Developed
United Kingdom,2040,59713.46,75.7,Highly Developed
United States,2025,84265.7,75.56,Highly Developed
United States,2026,87218.92,76.43,Highly Developed
United States,2027,90172.14,77.29,Highly Developed
United States,2028,93125.36,78.16,Highly Developed
United States,2029,96078.57,79.03,Highly Developed
United States,2030,99031.79,79.9,Highly Developed
United States,2031,101985.01,80.76,Highly Developed
United States,2032,104938.23,81.63,Highly Developed
United States,2033,107891.44,82.5,Highly Developed
United States,2034,110844.66,83.37,Highly Developed
United States,2035,113797.88,84.23,Highly Developed
United States,2036,116751.09,85.1,Highly Developed
United States,2037,119704.31,85.97,Highly Developed
United States,2038,122657.53,86.84,Highly Developed
United States,2039,125610.75,87.7,Highly Developed
United States,2040,128563.96,88.57,Highly Developed
Uruguay,2025,22244.19,70.82,Highly Developed
Uruguay,2026,22760.77,71.92,Highly Developed
Uruguay,2027,23277.34,73.03,Highly Developed
Uruguay,2028,23793.91,74.14,Highly Developed
Uruguay,2029,24310.48,75.24,Highly Developed
Uruguay,2030,24827.06,76.35,Highly Developed
Uruguay,2031,25343.63,77.46,Highly Developed
Uruguay,2032,25860.2,78.57,Highly Developed
Uruguay,2033,26376.78,79.67,Highly Developed
Uruguay,2034,26893.35,80.78,Highly Developed
Uruguay,2035,27409.92,81.89,Highly Developed
Uruguay,2036,27926.49,82.99,Highly Developed
Uruguay,2037,28443.07,84.1,Highly Developed
Uruguay,2038,28959.64,85.21,Highly Developed
Uruguay,2039,29476.21,86.32,Highly Developed
Uruguay,2040,29992.79,87.42,Highly Developed
Uzbekistan,2025,2603.72,67.19,Developing
Uzbekistan,2026,2626.58,69.01,Developing
Uzbekistan,2027,2649.43,70.84,Highly Developed
Uzbekistan,2028,2672.28,72.66,Highly Developed
Uzbekistan,2029,2695.13,74.49,Highly Developed
Uzbekistan,2030,2717.98,76.31,Highly Developed
Uzbekistan,2031,2740.83,78.14,Highly Developed
Uzbekistan,2032,2763.69,79.96,Highly Developed
Uzbekistan,2033,2786.54,81.79,Highly Developed
Uzbekistan,2034,2809.39,83.61,Highly Developed
Uzbekistan,2035,2832.24,85.44,Highly Developed
Uzbekistan,2036,2855.09,87.26,Highly Developed
Uzbekistan,2037,2877.94,89.09,Highly Developed
Uzbekistan,2038,2900.8,90.91,Highly Developed
Uzbekistan,2039,2923.65,92.73,Highly Developed
Uzbekistan,2040,2946.5,94.56,Highly Developed
Vanuatu,2025,3470.49,58.22,Developing
Vanuatu,2026,3522.06,59.32,Developing
Vanuatu,2027,3573.63,60.42,Developing
Vanuatu,2028,3625.2,61.53,Developing
Vanuatu,2029,3676.77,62.63,Developing
Vanuatu,2030,3728.33,63.73,Developing
Vanuatu,2031,3779.9,64.84,Developing
Vanuatu,2032,3831.47,65.94,Developing
Vanuatu,2033,3883.04,67.04,Developing
Vanuatu,2034,3934.61,68.15,Developing
Vanuatu,2035,3986.18,69.25,Developing
Vanuatu,2036,4037.75,70.35,Highly Developed
Vanuatu,2037,4089.31,71.46,Highly Developed
Vanuatu,2038,4140.88,72.56,Highly Developed
Vanuatu,2039,4192.45,73.66,Highly Developed
Vanuatu,2040,4244.02,74.77,Highly Developed
Zambia,2025,1150.42,30.74,Underdeveloped
Zambia,2026,1122.57,30.75,Underdeveloped
Zambia,2027,1094.73,30.76,Underdeveloped
Zambia,2028,1066.88,30.77,Underdeveloped
Zambia,2029,1039.03,30.78,Underdeveloped
Zambia,2030,1011.18,30.79,Underdeveloped
Zambia,2031,983.34,30.8,Underdeveloped
Zambia,2032,955.49,30.81,Underdeveloped
Zambia,2033,927.64,30.82,Underdeveloped
Zambia,2034,899.79,30.83,Underdeveloped
Zambia,2035,871.94,30.84,Underdeveloped
Zambia,2036,844.1,30.85,Underdeveloped
Zambia,2037,816.25,30.87,Underdeveloped
Zambia,2038,788.4,30.88,Underdeveloped
Zambia,2039,760.55,30.89,Underdeveloped
Zambia,2040,732.71,30.9,Underdeveloped
Zimbabwe,2025,2744.47,40.59,Developing
Zimbabwe,2026,2838.69,41.26,Developing
Zimbabwe,2027,2932.9,41.93,Developing
Zimbabwe,2028,3027.12,42.6,Developing
Zimbabwe,2029,3121.33,43.27,Developing
Zimbabwe,2030,3215.55,43.93,Developing
Zimbabwe,2031,3309.76,44.6,Developing
Zimbabwe,2032,3403.98,45.27,Developing
Zimbabwe,2033,3498.2,45.94,Developing
Zimbabwe,2034,3592.41,46.61,Developing
Zimbabwe,2035,3686.63,47.27,Developing
Zimbabwe,2036,3780.84,47.94,Developing
Zimbabwe,2037,3875.06,48.61,Developing
Zimbabwe,2038,3969.27,49.28,Developing
Zimbabwe,2039,4063.49,49.95,Developing
Zimbabwe,2040,4157.7,50.61,Developing
